"","production_year","country_of_origin","mileage","aso_serviced","power","title","color","brand","metallic","price","first_registration","version","location","collision_free","model","type","fuel_type","lat","lon"
"80",2004,"Poland",170000,"","1 KM","Toyota Corolla Toyota Corolla 2.0 turbo diesel sprawny ekonomiczny zadbany","Niebieski","Toyota","",7900,"","Seria E12 (2001-2007)","KRAKÓW - 30-631 Kraków, Podgórze Duchackie","","Corolla","Kombi","Diesel",50.0037455,19.9249642
"81",2004,"Poland",173000,"Tak","120 KM","Toyota Corolla Kombi 1,6 VVTi KRAJOWY klimatyzacja udokumentowany przebieg serwis ASO","Czarny","Toyota","Tak",14700,"kwiecien 2004","Seria E12 (2001-2007)","Pszczyna","","Corolla","Kombi","Benzyna",49.9857805,18.9477092
"82",2004,"",150000,"","96 KM","Toyota Corolla","Srebrny","Toyota","Tak",4600,"czerwiec 2004","Seria E12 (2001-2007)","Zambrów","","Corolla","Sedan/Limuzyna","Benzyna",52.9849941,22.2413857
"83",2005,"Poland",159000,"","90 KM","Toyota Corolla Toyota Corolla - Krajowa","Srebrny","Toyota","Tak",18500,"maj 2005","Seria E12 (2001-2007)","Popów","Tak","Corolla","Hatchback","Diesel",51.0416804,18.9393004
"84",2002,"",217000,"","90 KM","Toyota Corolla 2002r, 2.0 D4D, klimatronic, zar.w PL,","Srebrny","Toyota","Tak",9900,"","Seria E12 (2001-2007)","Lochów","Tak","Corolla","Kombi","Diesel",52.5307,21.68182
"85",2001,"Wlochy",174000,"","110 KM","Toyota Corolla","Srebrny","Toyota","Tak",8000,"listopad 2007","Seria E11 (1997-2002)","Kraków","","Corolla","Hatchback","Benzyna",50.0646501,19.9449799
"86",1998,"Switzerland",280000,"Tak","","Toyota Corolla 1.6 benzyna! Klimatyzacja_elektryczne szyby_itp! Polecam","Srebrny","Toyota","Tak",7900,"","Seria E11 (1997-2002)","Olszowa 24 - 96-300 Zyrardów, zyrardowski, Mazowieckie","Tak","Corolla","Hatchback","Benzyna",52.0542026,20.4705595
"87",2000,"",102505,"","86 KM","Toyota Corolla z klimatyzacja NISKI PRZEBIEG","Srebrny","Toyota","Tak",6900,"","Seria E11 (1997-2002)","SZOSA TORUNSKA 27 - 86-300 Grudziadz, Kujawsko-pomorskie","Tak","Corolla","Hatchback","Benzyna",53.4485079,18.729754
"88",2003,"",208000,"","110 KM","Toyota Corolla diesel D4D, 81 kW","Srebrny","Toyota","Tak",13700,"","Seria E12 (2001-2007)","Radom","Tak","Corolla","Hatchback","Diesel",51.4027236,21.1471333
"89",2005,"",144000,"Tak","90 KM","Toyota Corolla +D4D 1.4 90Ps+Klimatronik+Lift+Automat+Wersja Sol !!!","Niebieski","Toyota","Tak",18900,"","Seria E12 (2001-2007)","Os.Jagielonskie 19/8 - 62-200 Gniezno, gnieznienski, Wielkopolskie","Tak","Corolla","Hatchback","Diesel",52.5506206,17.6069874
"90",1997,"Germany",176615,"","86 KM","Toyota Corolla GAZ + Klimatyzacja","Niebieski","Toyota","Tak",4000,"wrzesien 1997","Seria E11 (1997-2002)","Kutno","Tak","Corolla","Hatchback","Benzyna+LPG",52.230618,19.364278
"91",2002,"Germany",230000,"","90 KM","Toyota Corolla 2.0 D-4D / Klimatyzacja / 5-drzwi / Zarejestrowany / Auto z GWARANCJA","Zielony","Toyota","Tak",14400,"marzec 2002","Seria E12 (2001-2007)","Moniuszki 31A - 67-400 Wschowa, wschowski, Lubuskie","Tak","Corolla","Hatchback","Diesel",51.8021716,16.324853
"92",2001,"",192000,"","90 KM","Toyota Corolla Corolla E11 2001r. 2.0 D4D , KLIMA","Zielony","Toyota","",5000,"","Seria E11 (1997-2002)","Slupno","","Corolla","Hatchback","Diesel",52.3843361,21.1557573
"93",1998,"",235600,"","","Toyota Corolla Zadbana","Inny kolor","Toyota","",4500,"","Seria E11 (1997-2002)","Grodzisk Mazowiecki","","Corolla","Hatchback","Benzyna+LPG",52.1044383,20.6350923
"94",2004,"",120756,"","140 KM","Toyota Corolla 2,0 D 4-D Anglik LIFT","Srebrny","Toyota","",5100,"","Seria E12 (2001-2007)","Byczyna","","Corolla","Hatchback","Diesel",51.11327,18.21114
"95",2004,"Germany",178000,"","116 KM","Toyota Corolla 2,0 D-4D Klimatronic-oplacony","Srebrny","Toyota","Tak",14900,"","Seria E12 (2001-2007)","BIALOWIESKA 2 - 71- 010 Szczecin, Sródmiescie","Tak","Corolla","Hatchback","Diesel",53.4080996,14.5148937
"96",2005,"Germany",125000,"Tak","110 KM","Toyota Corolla 1.6i GAZ-LPG Klimatronik,Parktronik SOL Oplacona Niemcy","Niebieski","Toyota","Tak",19900,"czerwiec 2005","Seria E12 (2001-2007)","ul. Partyzancka 73 - 95-200 Pabianice, pabianicki, Lódzkie","Tak","Corolla","Hatchback","Benzyna+LPG",51.668726,19.3703654
"97",2000,"",248627,"","90 KM","Toyota Corolla 1.4benz klima wazne oplaty 2000r.","Fioletowy","Toyota","",4950,"","Seria E11 (1997-2002)","SKLADOWA 5 - 15-399 Bialystok, Dojlidy","","Corolla","Hatchback","Benzyna",53.1199205,23.1246274
